precinct_id,avg_biss,avg_abughazaleh,avg_fine,avg_simmons,avg_amiwala,avg_huynh,avg_andrew,pct_biss_wins,pct_fine_wins,pct_abughazaleh_wins
CITY OF CHICAGO:WARD 40 PRECINCT 07,27.511847,34.160152,13.771092,9.6013918,6.8393631,4.1253204,3.9907362,21.576,.99900001,77.425003
COOK:7502004,35.552486,25.789351,14.839092,9.7196121,6.1331635,4.0921421,3.8738506,85.523003,1.1799999,13.297
CITY OF CHICAGO:WARD 40 PRECINCT 03,29.437508,29.853113,15.307621,10.242233,6.6040511,4.4341984,4.1213698,46.057999,2.675,51.266998
CITY OF CHICAGO:WARD 48 PRECINCT 34,24.624393,41.479267,11.579152,8.7759647,5.6938066,4.2636538,3.5831435,2.55,.071999997,97.377998
COOK:8200049,35.878902,25.361019,15.369265,9.3659563,6.0870509,3.9969141,3.940851,87.184998,1.347,11.468
COOK:8100024,27.376011,24.960386,21.286457,9.1714811,5.7066612,3.9656539,7.5333838,49.478001,18.697001,31.825001
COOK:8200018,43.875641,17.532261,18.687525,7.9939222,4.3975821,3.5631311,3.9501166,99.349998,.52899998,.121
CITY OF CHICAGO:WARD 48 PRECINCT 23,30.16316,27.859697,17.535151,9.7302551,6.3512006,4.0598702,4.3004718,56.688999,5.1890001,38.122002
CITY OF CHICAGO:WARD 50 PRECINCT 05,37.652271,20.624508,19.178703,9.2558365,4.8977952,4.1567459,4.2339144,94.524002,3.0309999,2.4449999
CITY OF CHICAGO:WARD 46 PRECINCT 07,22.080967,46.340542,9.7800074,8.1816998,6.4790411,3.6812086,3.4563527,.26300001,.0080000004,99.728996
